timestamp,experiment_name,accuracy,model_name,n_estimators,max_depth,C_SVM,kernel,test_size,rank
2026-04-19 13:31:32,SVM_C1.0_krbf_ts0.2,0.9861111111111112,SVM,50,,1.0,rbf,-,1
2026-04-19 13:31:33,SVM_C1.0_krbf_ts0.2,0.9861111111111112,SVM,100,,1.0,rbf,-,2
2026-04-19 13:31:33,SVM_C1.0_krbf_ts0.2,0.9861111111111112,SVM,100,5.0,1.0,rbf,-,3
2026-04-19 13:31:32,SVM_C1.0_krbf_ts0.2,0.9861111111111112,SVM,50,5.0,1.0,rbf,-,4
2026-04-19 13:31:32,SVM_C0.1_klinear_ts0.2,0.9777777777777777,SVM,50,,0.1,linear,-,5
2026-04-19 13:31:32,SVM_C1.0_klinear_ts0.2,0.9777777777777777,SVM,50,5.0,1.0,linear,-,6
2026-04-19 13:20:02,rf_n100_d10_ts0.3,0.9777777777777777,Unknown,100,10.0,-,-,-,7
2026-04-19 13:31:32,SVM_C1.0_klinear_ts0.2,0.9777777777777777,SVM,50,,1.0,linear,-,8
2026-04-19 13:31:33,SVM_C0.1_klinear_ts0.2,0.9777777777777777,SVM,100,,0.1,linear,-,9
2026-04-19 13:31:33,SVM_C1.0_klinear_ts0.2,0.9777777777777777,SVM,100,5.0,1.0,linear,-,10
2026-04-19 13:31:31,SVM_C0.1_klinear_ts0.2,0.9777777777777777,SVM,50,5.0,0.1,linear,-,11
2026-04-19 13:31:32,SVM_C0.1_klinear_ts0.2,0.9777777777777777,SVM,100,5.0,0.1,linear,-,12
2026-04-19 13:31:33,SVM_C1.0_klinear_ts0.2,0.9777777777777777,SVM,100,,1.0,linear,-,13
2026-04-19 13:20:03,rf_n100_dNone_ts0.3,0.975925925925926,Unknown,100,,-,-,-,14
2026-04-19 13:20:00,rf_n50_dNone_ts0.3,0.9740740740740741,Unknown,50,,-,-,-,15
2026-04-19 13:31:31,RandomForest_n100_dNone_ts0.2,0.9722222222222222,RandomForest,100,,1.0,linear,-,16
2026-04-19 13:31:31,RandomForest_n100_dNone_ts0.2,0.9722222222222222,RandomForest,100,,1.0,rbf,-,17
2026-04-19 13:31:27,RandomForest_n50_dNone_ts0.2,0.9722222222222222,RandomForest,50,,1.0,rbf,-,18
2026-04-19 13:31:28,RandomForest_n50_dNone_ts0.2,0.9722222222222222,RandomForest,50,,1.0,linear,-,19
2026-04-19 13:17:02,exp_deep_rf_200,0.9722222222222222,Unknown,200,10.0,-,-,-,20
2026-04-19 13:20:00,rf_n50_dNone_ts0.2,0.9722222222222222,Unknown,50,,-,-,-,21
2026-04-19 13:31:30,RandomForest_n100_dNone_ts0.2,0.9722222222222222,RandomForest,100,,0.1,linear,-,22
2026-04-19 13:31:30,RandomForest_n100_dNone_ts0.2,0.9722222222222222,RandomForest,100,,0.1,rbf,-,23
2026-04-19 13:20:06,rf_n200_d10_ts0.2,0.9722222222222222,Unknown,200,10.0,-,-,-,24
2026-04-19 13:20:09,rf_n200_dNone_ts0.3,0.9722222222222222,Unknown,200,,-,-,-,25
2026-04-19 13:20:03,rf_n100_dNone_ts0.2,0.9722222222222222,Unknown,100,,-,-,-,26
2026-04-19 13:20:02,rf_n100_d10_ts0.2,0.9722222222222222,Unknown,100,10.0,-,-,-,27
2026-04-19 13:31:27,RandomForest_n50_dNone_ts0.2,0.9722222222222222,RandomForest,50,,0.1,rbf,-,28
2026-04-19 13:31:27,RandomForest_n50_dNone_ts0.2,0.9722222222222222,RandomForest,50,,0.1,linear,-,29
2026-04-19 13:20:07,rf_n200_d10_ts0.3,0.9703703703703703,Unknown,200,10.0,-,-,-,30
2026-04-19 13:20:08,rf_n200_dNone_ts0.2,0.9694444444444444,Unknown,200,,-,-,-,31
2026-04-19 13:19:59,rf_n50_d10_ts0.3,0.9685185185185186,Unknown,50,10.0,-,-,-,32
2026-04-19 13:19:59,rf_n50_d10_ts0.2,0.9666666666666667,Unknown,50,10.0,-,-,-,33
2026-04-19 13:31:33,SVM_C0.1_krbf_ts0.2,0.95,SVM,100,,0.1,rbf,-,34
2026-04-19 13:31:32,SVM_C0.1_krbf_ts0.2,0.95,SVM,100,5.0,0.1,rbf,-,35
2026-04-19 13:31:31,SVM_C0.1_krbf_ts0.2,0.95,SVM,50,5.0,0.1,rbf,-,36
2026-04-19 13:31:32,SVM_C0.1_krbf_ts0.2,0.95,SVM,50,,0.1,rbf,-,37
